respondent_id,company_size,tech_company,benefits,mh_options_known,boss_mh_discuss,resources,anonymity_protected,leave_easy,bad_conseq_mh_boss,bad_conseq_ph_boss,mh_comfort_coworkers,mh_comfort_supervisor,mh_ph_boss_serious,observed_mhdcoworker_bad_conseq,prev_boss,prev_benefits,prev_mh_options_known,prev_boss_mh_discuss,prev_resources,prev_anonymity_protected,bad_conseq_mh_prev_boss,bad_conseq_ph_prev_boss,mh_comfort_prev_coworkers,mh_comfort_prev_supervisor,mh_ph_prev_boss_serious,prev_observed_bad_conseq_mh,ph_interview,mh_interview,friends_family_mhd_comfort,ever_observed_mhd_bad_response,mhdcoworker_you_not_reveal,mh_family_history,remote_work
86,More than 1000,1,Yes,Yes,No,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,No,0,1,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, they all did","Yes, always",I don't know,"Yes, all of them","No, at none of my previous employers",I don't know,None did,None of them,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,Always
87,6-25,1,Yes,Yes,No,No,Yes,Very easy,No,No,No,Yes,Yes,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Somewhat not open,No,Not applicable,No,Sometimes
88,26-100,1,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,"Yes, they all did","Yes, I was aware of all of them",I don't know,None did,I don't know,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,Yes,No,Somewhat open,No,Not applicable,Yes,Always
89,More than 1000,1,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Somewhat open,No,Not applicable,Yes,Sometimes
90,26-100,0,Yes,Yes,No,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,No,Sometimes
91,26-100,0,I don't know,No,No,No,I don't know,I don't know,No,No,Maybe,Yes,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Maybe,Very open,No,Not applicable,Yes,Sometimes
92,26-100,1,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,0,1,Some did,N/A (not currently aware),None did,Some did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,Yes,No,Very open,"Yes, I observed",No,Yes,Sometimes
93,100-500,1,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,No,Somewhat open,No,Not applicable,Yes,Sometimes
94,6-25,1,Yes,No,No,No,No,Neither easy nor difficult,Maybe,No,No,No,I don't know,0,1,"Yes, they all did",I was aware of some,None did,None did,Sometimes,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,No,No,Neutral,Maybe/Not sure,No response,Yes,Sometimes
95,500-1000,1,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Yes,Very open,No,Not applicable,Yes,Sometimes
96,26-100,1,Yes,Yes,Yes,I don't know,I don't know,Very easy,No,No,Maybe,Yes,Yes,0,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,Not applicable to me (I do not have a mental illness),No,Not applicable,I don't know,Sometimes
97,26-100,0,No,Not applicable,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,Maybe,I don't know,0,1,Some did,I was aware of some,Some did,Some did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,Somewhat open,"Yes, I experienced",Yes,Yes,Sometimes
98,1-5,0,I don't know,No,Yes,No,I don't know,Very difficult,Yes,Maybe,Yes,No,I don't know,0,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did",Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Maybe,No,Somewhat open,"Yes, I observed",No,I don't know,Sometimes
99,100-500,1,I don't know,No,I don't know,I don't know,I don't know,Very easy,Maybe,Maybe,Yes,Yes,I don't know,0,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,Maybe,Very open,No,Not applicable,No,Sometimes
100,26-100,1,Yes,No,No,No,No,Somewhat easy,Maybe,No,No,Maybe,Yes,0,1,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Maybe,No,Neutral,No,Not applicable,No,Sometimes
101,More than 1000,0,I don't know,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,Maybe,No,Maybe,I don't know,0,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Somewhat open,No,Not applicable,I don't know,Sometimes
102,6-25,1,Yes,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,No,No,0,1,Some did,I was aware of some,Some did,Some did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,Not open at all,"Yes, I observed",No,I don't know,Sometimes
103,500-1000,1,No,Not applicable,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,Yes,No,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,No,Somewhat open,"Yes, I observed",No,Yes,Sometimes
104,More than 1000,0,Yes,No,No,Yes,Yes,I don't know,Maybe,No,Maybe,Yes,I don't know,0,1,Some did,I was aware of some,Some did,Some did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Neutral,"Yes, I observed",Yes,I don't know,Sometimes
105,More than 1000,1,I don't know,No,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Somewhat open,Maybe/Not sure,No,Yes,Sometimes
106,More than 1000,0,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,No,No,Maybe,I don't know,0,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,Not applicable,No,Sometimes
107,26-100,1,Yes,No,No,I don't know,I don't know,I don't know,No,No,No,Maybe,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",I don't know,None did,None of them,Maybe,No,Neutral,No,Not applicable,No,Sometimes
108,26-100,1,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,0,1,Some did,"Yes, I was aware of all of them",Some did,Some did,Sometimes,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Maybe,Somewhat open,No,Not applicable,No,Always
109,100-500,1,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,No,0,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,No,Somewhat open,Maybe/Not sure,Yes,I don't know,Sometimes
110,100-500,1,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,0,1,Some did,I was aware of some,I don't know,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Maybe,Very open,"Yes, I experienced",No,Yes,Sometimes
111,1-5,1,No,Not applicable,No,No,No,Very difficult,Maybe,Maybe,No,No,I don't know,0,1,Some did,"Yes, I was aware of all of them",Some did,Some did,Sometimes,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Somewhat open,"Yes, I experienced",Yes,Yes,Always
112,26-100,1,I don't know,No,No,I don't know,I don't know,I don't know,Yes,Maybe,No,Maybe,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Somewhat open,Maybe/Not sure,Yes,I don't know,Sometimes
113,500-1000,1,Yes,No,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,Yes,Always
114,26-100,1,I don't know,I am not sure,I don't know,No,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,No,Somewhat not open,No,Not applicable,Yes,Never
115,26-100,1,Yes,I am not sure,No,No,No,Somewhat easy,Maybe,No,No,Yes,Yes,0,1,Some did,N/A (not currently aware),None did,Some did,No,Some of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",Some did,None of them,Yes,No,Very open,No,Not applicable,I don't know,Sometimes
116,26-100,1,Yes,No,No,No,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,No,1,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,Somewhat open,"Yes, I experienced",No response,No,Sometimes
117,6-25,1,Yes,Yes,No,I don't know,No,Somewhat easy,No,No,Yes,Yes,Yes,0,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,Very open,Maybe/Not sure,No response,No,Sometimes
118,6-25,1,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No,Yes,Yes,Yes,0,1,Some did,I was aware of some,None did,None did,Sometimes,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",I don't know,Some of them,Maybe,Maybe,Very open,"Yes, I experienced",No,Yes,Sometimes
119,More than 1000,1,No,Not applicable,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,1,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",No,No,Somewhat open,"Yes, I observed",Yes,No,Sometimes
120,More than 1000,0,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,0,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Yes,Very open,No,Not applicable,No,Sometimes
121,100-500,1,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,0,1,I don't know,I was aware of some,Some did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,Yes,Always
122,26-100,1,I don't know,No,Yes,No,I don't know,Very easy,No,No,Yes,Yes,I don't know,0,1,"Yes, they all did",I was aware of some,"Yes, they all did",Some did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,Maybe,Somewhat open,No,Not applicable,I don't know,Always
123,100-500,1,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Maybe,Not open at all,No,Not applicable,No,Never
124,26-100,1,No,Not applicable,No,I don't know,Yes,Very difficult,Yes,Maybe,Maybe,Maybe,I don't know,0,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,No,Neutral,Maybe/Not sure,No response,I don't know,Sometimes
125,More than 1000,0,I don't know,No,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,None did,None of them,No,No,Somewhat not open,No response,No response,No,Always
126,500-1000,1,Yes,Yes,No,I don't know,Yes,Somewhat easy,Maybe,Maybe,No,No,No,0,1,Some did,"No, I only became aware later",Some did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,No,No,Neutral,No,Not applicable,No,Sometimes
127,6-25,1,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Yes,No,Somewhat open,"Yes, I experienced",Yes,Yes,Sometimes
128,More than 1000,0,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,Yes,0,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Very open,Maybe/Not sure,Maybe,No,Never
129,100-500,1,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,No,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,No,Somewhat open,Maybe/Not sure,No response,No,Sometimes
130,More than 1000,1,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Maybe,Maybe,No,0,1,"No, none did",I was aware of some,I don't know,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Maybe,Somewhat open,Maybe/Not sure,No,No,Never
131,More than 1000,0,I don't know,I am not sure,Yes,No,I don't know,Very easy,Maybe,Maybe,No,Maybe,Yes,0,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,Not applicable,No,Never
132,More than 1000,0,I don't know,No,No,I don't know,Yes,Very easy,Maybe,Maybe,Maybe,Yes,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No response,No response,No,Sometimes
